iter	Passed	Remaining
0	135	135094
1	136	67999
2	137	45575
3	138	34443
4	139	27758
5	140	23287
6	141	20074
7	142	17678
8	143	15842
9	145	14367
10	146	13133
11	147	12158
12	148	11308
13	149	10553
14	151	9918
15	152	9355
16	153	8854
17	154	8410
18	154	8002
19	155	7635
20	157	7323
21	158	7026
22	159	6760
23	160	6509
24	160	6275
25	162	6074
26	163	5890
27	164	5717
28	165	5554
29	167	5400
30	168	5252
31	169	5121
32	170	5001
33	172	4886
34	172	4765
35	173	4652
36	174	4545
37	176	4467
38	177	4375
39	178	4284
40	179	4195
41	180	4111
42	181	4033
43	182	3964
44	183	3892
45	184	3822
46	185	3754
47	185	3688
48	186	3624
49	188	3582
50	190	3537
51	191	3484
52	191	3430
53	192	3377
54	193	3327
55	194	3286
56	195	3241
57	196	3197
58	197	3154
59	198	3112
60	199	3071
61	200	3035
62	201	2998
63	202	2962
64	203	2930
65	204	2899
66	205	2865
67	206	2836
68	208	2807
69	209	2776
70	209	2747
71	210	2717
72	211	2687
73	212	2660
74	213	2635
75	214	2609
76	215	2584
77	216	2558
78	217	2534
79	218	2511
80	219	2491
81	220	2469
82	221	2442
83	222	2421
84	222	2399
85	223	2377
86	224	2356
87	225	2338
88	226	2320
89	227	2301
90	228	2284
91	229	2265
92	230	2247
93	231	2232
94	232	2217
95	233	2200
96	234	2183
97	235	2166
98	236	2149
99	237	2133
100	238	2120
101	239	2106
102	240	2090
103	240	2075
104	241	2061
105	242	2046
106	243	2032
107	244	2020
108	245	2007
109	246	1995
110	247	1983
111	248	1970
112	249	1957
113	250	1946
114	251	1935
115	252	1923
116	253	1911
117	254	1900
118	255	1889
119	256	1883
120	258	1875
121	258	1863
122	260	1854
123	261	1847
124	262	1839
125	263	1830
126	264	1819
127	265	1810
128	266	1802
129	268	1793
130	269	1784
131	270	1775
132	270	1765
133	271	1755
134	272	1745
135	273	1737
136	274	1728
137	275	1720
138	276	1712
139	277	1704
140	278	1696
141	278	1685
142	279	1677
143	280	1668
144	282	1665
145	283	1657
146	284	1649
147	285	1640
148	285	1632
149	286	1624
150	288	1619
151	289	1613
152	290	1606
153	291	1600
154	292	1592
155	293	1585
156	294	1579
157	295	1573
158	296	1567
159	297	1561
160	298	1555
161	299	1548
162	300	1542
163	301	1538
164	302	1532
165	303	1526
166	304	1519
167	305	1512
168	306	1509
169	308	1504
170	308	1497
171	309	1491
172	310	1484
173	311	1478
174	312	1472
175	313	1467
176	314	1461
177	315	1457
178	316	1451
179	317	1445
180	318	1439
181	319	1435
182	320	1429
183	321	1423
184	321	1417
185	322	1412
186	324	1408
187	325	1405
188	326	1400
189	327	1394
